Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,DOI,PDF,Code,URL,BibTeX
Bryce Ferenczi; Michael Burke; Tom Drummond; ,Efficiently Scanning and Resampling Spatio-Temporal Tasks with Irregular Observations,"arXiv preprint arXiv:2410.08681, 2024",,,,2024,,,,,,
Juyan Zhang; Dana Kulic; Michael Burke; ,A Probabilistic Model for Skill Acquisition with Switching Latent Feedback Controllers,"arXiv preprint arXiv:2410.14191, 2024",,,,2024,,,,,,
Shuai Li; Michael Burke; Subramanian Ramamoorthy; Juergen Gall; ,Learning a Neural Association Network for Self-supervised Multi-Object Tracking,"British Machine Vision Conference (BMVC), 2025",,,,2025,,,,,,
Unnati Nigam; Radhendushka Srivastava; Michael Burke; Faezeh Marzbanrad; ,A Dynamical Equation Approach For Quasi-Periodic Gaussian Processes,"ICASSP 2025-2025 IEEE International Conference on Acoustics, Speech and …, 2025",,,1-5,2025,IEEE,,,,,
Lirui Guo; Michael G Burke; Wynita M Griggs; ,Exploring human-SAV interaction using large language models: The impact of psychological ownership and anthropomorphism on user experience,"arXiv e-prints, arXiv: 2504.16548, 2025",,,arXiv: 2504.16548,2025,,,,,,
Haoyang Jiang; Elizabeth A Croft; Michael G Burke; ,Enhancing Human-Robot Interaction by Detecting and Modulating Information Flows,"2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI …, 2025",,,1857-1859,2025,IEEE,,,,,
Amara Zuffer; Michael Burke; Mehrtash Harandi; ,Advancements and Challenges in Continual Reinforcement Learning: A Comprehensive Review,"arXiv preprint arXiv:2506.21899, 2025",,,,2025,,,,,,
Haoyang Jiang; Elizabeth A Croft; Michael G Burke; ,Influence-Based Reward Modulation for Implicit Communication in Human-Robot Interaction,"ACM Transactions on Human-Robot Interaction, 2026",,,,2026,ACM,,,,,
Ditebogo Mashal; Michael Burke; ,Importance Sampling Forests for Location Invariant Proprioceptive Terrain,"Artificial Intelligence Research: First Southern African Conference for AI …, 2020",,,154,2020,Springer Nature,,,,,
Xiao Yang; Juxi Leitner; Michael Burke; ,Feedback-Induced Performance Decline in LLM-Based Decision-Making,"arXiv preprint arXiv:2507.14906, 2025",,,,2025,,,,,,
Chenyuan Zhang; Yuansan Liu; Dana Kulic; Pamela Carreno-Medrano; Michael Burke; ,Modeling Human Sequential Decision-Making in the Tower of London: Incorporating Individual Differences and Timing-Based Replanning Inference,"Proceedings of the Annual Meeting of the Cognitive Science Society 47, 2025",47,,,2025,,,,,,
Juyan Zhang; Rhys Newbury; Xinyang Zhang; Tin Tran; Dana Kulic; Michael Burke; ,Why Heuristic Weighting Works: A Theoretical Analysis of Denoising Score Matching,"arXiv preprint arXiv:2508.01597, 2025",,,,2025,,,,,,
Lirui Guo; Michael G Burke; Wynita M Griggs; ,Sentiment Matters: An Analysis of 200 Human-SAV Interactions,"IEEE International Conference on Intelligent Transportation Systems, 2025",,,,2025,,,,,,
Juyan Zhang; Dana Kulic; Michael Burke; ,Skill Acquisition with Switching Latent PI Controllers,"IROS 2025 Workshop-LeaPRiDE: Learning, Planning, and Reasoning in Dynamic …, 2025",,,,2025,,,,,,
Unnati Nigam; Radhendushka Srivastava; Faezeh Marzbanrad; Michael Burke; ,A structural equation formulation for general quasi-periodic Gaussian processes,"arXiv preprint arXiv:2511.01151, 2025",,,,2025,,,,,,
Estefania Yap; Viet Huynh; Calvin Vong; Peter Vogel; Viv Louzado; Thomas Barnes; Buser Say; Michael Burke; Dana Kulić; Aldeida Aleti; ,A Bayesian Optimisation with segmentation approach to optimising liquid handling parameters,"Elsevier, 2025",156,,,2025,Elsevier,,,,,
Emmanuel Fashae; Michael Burke; Leimin Tian; Lingheng Meng; Pamela Carreno-Medrano; ,Explaining Why Things Go Where They Go: Interpretable Constructs of Human Organizational Preferences,"HRI '26: Proceedings of the 21st ACM/IEEE International Conference on Human …, 2026",,,475 - 484,2026,,,,,,
Lirui Guo; Michael G Burke; Wynita M Griggs; ,Exploring human-SAV interaction using LLMs: The impact of psychological factors on user experience,"arXiv preprint arXiv:2504.16548, 2025",,,,2025,,,,,,
Lingheng Meng; Rob Gorbet; Michael Burke; Dana Kulić; ,Multi-step first: A lightweight deep reinforcement learning strategy for robust continuous control with partial observability,"Neural networks: the official journal of the International Neural Network …, 2025",199,,108521,2025,,,,,,
Unnati Nigam; Radhendushka Srivastava; Faezeh Marzbanrad; Michael Burke; ,Quasi-Periodic Gaussian Process Predictive Iterative Learning Control,"arXiv preprint arXiv:2602.18014, 2026",,,,2026,,,,,,
Malak Sayour; Pamela Carreno-Medrano; Michael Burke; Dana Kulić; ,The Role of Variability in Human Navigational Instructions in Visual Language Robot Navigation,"IEEE Robotics and Automation Letters, 2026",,,,2026,IEEE,,,,,
Adedayo Akinade; Keenan Granland; Jürgen Leitner; Michael Burke; ,Beyond Success Rate: Empirical Evidence That Compliance Dominates in Deformable-Object Grasping,"Beyond Rigidity - Deformable and Articulated Robotic Object Manipulation …, 2026",,,,2026,,,,,,
Lirui Guo; Wynita Griggs; Michael G Burke; ,200 Human-SAV Interactions: Dialogues & Surveys,,,,,2025,,,,,,
